Gene ID,Gene Name,Design Element,'mbf1c mutant' vs 'wild type' at '0 minute'.p-value,'mbf1c mutant' vs 'wild type' at '0 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '0 minute'.log2foldchange,'mbf1c mutant' vs 'wild type' at '20 minute'.p-value,'mbf1c mutant' vs 'wild type' at '20 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '20 minute'.log2foldchange,'mbf1c mutant' vs 'wild type' at '60 minute'.p-value,'mbf1c mutant' vs 'wild type' at '60 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '60 minute'.log2foldchange
AT1G19640,JMT,261150_at,0.959095922721702,-0.730787183624828,-0.2,NA,-0.513023060056915,-0.1,NA,-2.1022030076274,-0.2
AT1G19650,SFH4,261151_at,0.957569942940316,-0.750914071208804,-0.1,NA,0.595406222090944,0.1,NA,-1.96633345984107,-0.3
AT1G19670,CLH1,255786_at,0.968214930919338,0.375119492959561,0.1,NA,1.2754348005345,0.2,0.531774733914888,-1.80736088333001,-0.7
AT1G19680,,261140_at,0.953143672175718,-1.14270503847305,-0.2,NA,-0.656052902659261,-0.1,NA,-1.47144777811634,-0.2
AT1G19690,,261147_at,0.968005312995502,0.376677046527434,0.1,NA,-0.785361202765023,-0.1,NA,0.0731495858592782,0
AT1G19700,BLH10,261139_at,0.959171010660004,-0.587624630359315,-0.1,NA,-0.156882879353867,0,NA,-1.24215941087503,-0.3
AT1G19710,,261138_at,0.953143672175718,-1.361242022271,-0.2,NA,1.63423943941208,0.2,NA,0.0531044816160888,0
AT1G19715,JAL3,261133_at,0.996204240714584,0.0366724675351564,0,NA,0.425570562871681,0.1,NA,0.335996411151358,0.1
AT1G19730,TRX4,261145_at,0.954458871645888,-0.777758682459677,-0.1,NA,-0.373929055113148,-0.1,NA,-0.72137203182457,-0.1
AT1G19740,,261141_at,0.972874343397927,-0.32897841676466,-0.1,NA,-0.699819577698647,-0.1,NA,-0.643854216822244,-0.1
AT1G19770,PUP14,261143_at,0.953143672175718,-1.41008051644471,-0.4,NA,1.00586315593235,0.3,NA,2.57226296173012,0.4
AT1G19780,CNGC8,261142_at,NA,-1.30189542676801,-0.1,NA,-0.180330019675986,0,NA,0.0651678840403425,0
AT1G19800,TGD1,261132_at,0.962312862935318,-0.493149522886942,-0.1,NA,-0.474888637829592,-0.1,NA,-0.942346972158067,-0.1
AT1G19830,,261137_at,0.953143672175718,-1.54122420532974,-0.2,NA,0.844380210194249,0.1,NA,-0.635263545954666,-0.1
AT1G19835,FPP4,261131_at,0.987919998074416,0.126628137500468,0,NA,0.891287854019693,0.3,NA,0.785205082755225,0.3
AT1G19850,ARF5,255782_at,0.953143672175718,2.18532724921441,0.4,NA,0.587864426499381,0.1,NA,1.55932995502953,0.4
AT1G19860,,255784_at,0.953143672175718,1.41826568510264,0.2,NA,0.234769647574523,0,NA,0.590137943788287,0.1
AT1G19870,IQD 32,255783_at,0.953143672175718,-0.983692640938006,-0.1,NA,0.0129511920862678,0,NA,-0.894417011700847,-0.3
AT1G19880,,255781_at,0.953143672175718,1.06324039906999,0.2,NA,-0.612581746038826,-0.1,NA,-0.0677617596068207,0
